Unnamed: 0,simulation_id,run_date,initial_portfolio_value,num_simulations,returns,volatility,sharpe_ratio,prob_loss,VaR_95,weights
31,sim_d745365d-b1a0-4d3c-b369-6583b04b15bd,2025-06-01,100000,1000,0.2545058639104912,0.2396293087003811,1.0203504122119194,0.109,-0.0584472917439,"{'GAP': 0.0399620612817622, 'GLD': 0.6114447641460967, 'GM': 0.019516600971281994, 'JPM': 0.05357480037430906, 'META': 0.0939684840503622, 'NVDA': 0.03437567873124847, 'PLTR': 0.048586629716542304, 'SPY': 0.09857098072839697}"
32,sim_e6466e66-d08d-40f1-946b-b89928d300ca,2025-06-01,100000,1000,0.5631703077353408,0.6587191987586443,0.8397664874164739,0.163,-0.1984502170278828,"{'GAP': 0.028790352652458724, 'GLD': 0.011362577437393084, 'GM': 0.17114106587981723, 'JPM': 0.0017169928336366511, 'META': 0.3636462025116662, 'NVDA': 0.18111778155476838, 'PLTR': 0.18580729013489913, 'SPY': 0.05641773699536074}"
33,sim_65d18dc9-abca-433d-a80a-6cc5cb5fdd5c,2025-06-01,100000,1000,0.367167763700721,0.4825372946331451,0.7401868574164038,0.238,-0.2243135419570837,"{'GAP': 0.4566353734585899, 'GLD': 0.1355578425728914, 'GM': 0.015264637015910448, 'JPM': 0.07750166097937237, 'META': 0.06356378576130889, 'NVDA': 0.1037438664386808, 'PLTR': 0.023484118433870608, 'SPY': 0.12424871533937566}"
34,sim_fa3028d1-945b-411f-9a68-85a664379cab,2025-06-01,100000,1000,0.3158969160698266,0.3300071371312157,0.926940304167414,0.162,-0.1185251880721335,"{'GAP': 0.05525317310696758, 'GLD': 0.06903784746748882, 'GM': 0.0015372108406353302, 'JPM': 0.031079756966036508, 'META': 0.19068127413074884, 'NVDA': 0.0859699175650655, 'PLTR': 0.023344761204021805, 'SPY': 0.5430960587190355}"
35,sim_3b8b729a-4027-4e7e-aaae-d37c42be6858,2025-06-01,100000,1000,0.4694347641109124,0.4771526599809116,0.9628674481858532,0.14,-0.1659743131007536,"{'GAP': 0.11101135933691024, 'GLD': 0.047142529412197584, 'GM': 0.11419017699573719, 'JPM': 0.2481279854538501, 'META': 0.2670231565666852, 'NVDA': 0.06832842569806089, 'PLTR': 0.11275512974145968, 'SPY': 0.03142123679509912}"
36,sim_4e2ddfde-1681-494f-822a-96fb932632e2,2025-06-01,100000,1000,0.524211098433635,0.604254939244524,0.8509836908847328,0.146,-0.1481763628430636,"{'GAP': 0.22431558259665943, 'GLD': 0.10764461839008274, 'GM': 0.04344979394526933, 'JPM': 0.11136553955597363, 'META': 0.06024653491668278, 'NVDA': 0.07016562523344462, 'PLTR': 0.23697156122396348, 'SPY': 0.145840744137924}"
37,sim_834ca9a8-cb67-4a9d-a6a7-9daaafc907a3,2025-06-01,100000,1000,0.3824696398085232,0.4845391989956821,0.7687089931641267,0.219,-0.2391757129121658,"{'GAP': 0.18994324603697918, 'GLD': 0.0361649316931259, 'GM': 0.5014114091514253, 'JPM': 0.02296379914796628, 'META': 0.005087611179478255, 'NVDA': 0.17947485813231392, 'PLTR': 0.024043621586392203, 'SPY': 0.04091052307231905}"
38,sim_f09ac5b5-cf46-4ad1-80e9-8f3dd86262f2,2025-06-01,100000,1000,0.4760702824035289,0.4788367037780527,0.9733386741789092,0.138,-0.1443371050668296,"{'GAP': 0.010499921039528787, 'GLD': 0.12539002042001518, 'GM': 0.008248215857838529, 'JPM': 0.11710708155752393, 'META': 0.278206424133003, 'NVDA': 0.22960096146895928, 'PLTR': 0.08974814442651537, 'SPY': 0.141199231096616}"
39,sim_383a2fcb-5e7c-4231-a5d0-d1e85b44c142,2025-06-01,100000,1000,0.5871074211810451,0.6553361959595716,0.8806280268649276,0.121,-0.1546790900330602,"{'GAP': 0.024379245522068785, 'GLD': 0.17602082201828922, 'GM': 0.2008926538544267, 'JPM': 0.0011628478208559373, 'META': 0.03546744110843127, 'NVDA': 0.18231397912833186, 'PLTR': 0.24760741556205168, 'SPY': 0.13215559498554444}"
40,sim_6a893ea8-ba8a-4199-9135-8c49896653e7,2025-06-01,100000,1000,0.3772122412462192,0.3922972810337717,0.9360560447387016,0.15,-0.1147947561073644,"{'GAP': 0.18337228153801918, 'GLD': 0.05921539710261195, 'GM': 0.04263824213071696, 'JPM': 0.2684983548234983, 'META': 0.1763482969798951, 'NVDA': 0.10803433388477662, 'PLTR': 0.040079271325638155, 'SPY': 0.12181382221484349}"
41,sim_53b511d0-6924-4685-9c66-18ad0a853412,2025-06-01,100000,1000,0.55045244253332,0.5681155587358582,0.9513072370978668,0.139,-0.177594717270623,"{'GAP': 0.06015652041596818, 'GLD': 0.00907227168968937, 'GM': 0.24440638378329752, 'JPM': 0.054188395102311125, 'META': 0.08731816569797464, 'NVDA': 0.2994274120676864, 'PLTR': 0.09369290045312034, 'SPY': 0.15173795078995259}"
42,sim_7c55b606-3a7a-4034-a08e-efef94a17128,2025-06-01,100000,1000,0.3008509088174104,0.2879218201389661,1.010173208397441,0.132,-0.1061446367702501,"{'GAP': 0.08050470339877303, 'GLD': 0.29258332501058926, 'GM': 0.23268390833099353, 'JPM': 0.1317654586388427, 'META': 0.012733363227409302, 'NVDA': 0.07311934478594904, 'PLTR': 0.03831377789169636, 'SPY': 0.1382961187157468}"
